link_id,zone,type
917085,1,out
17144,1,in
17211,1,in
917211,1,out
17287,2,in
917413,2,out
40311,2,in
940311,2,out
40310,2,in
940310,2,out
17717,3,in
917717,3,out
17606,3,normal
917606,3,normal
17714,3,normal
917714,3,normal
17827,3,normal
917827,3,normal
17900,3,in
917900,3,out
917113,1,normal
917112,1,normal
917109,1,normal
917108,1,normal
17173,1,normal
17171,1,normal
17170,1,normal
17167,1,normal
17243,1,normal
917243,1,normal
17242,1,normal
917242,1,normal
17239,1,normal
917239,1,normal
17238,1,normal
917238,1,normal
17336,2,normal
17334,2,normal
17333,2,normal
17330,2,normal
917442,2,normal
917441,2,normal
917438,2,normal
917437,2,normal
17531,2,normal
917531,2,normal
17530,2,normal
917530,2,normal
17527,2,normal
917527,2,normal
17526,2,normal
917526,2,normal
17604,3,normal
917604,3,normal
17603,3,normal
17602,3,normal
17599,6,normal
17712,3,normal
917712,3,normal
17710,3,normal
917710,3,normal
17708,3,normal
917708,3,normal
17706,6,normal
917706,6,normal
17825,3,normal
917825,3,normal
17823,3,normal
917823,3,normal
17899,3,normal
917899,3,normal
17898,3,normal
917898,3,normal
17896,3,normal
917896,3,normal
16938,1,in
916938,1,out
17086,1,normal
917086,1,normal
17155,1,normal
917155,1,normal
17221,1,normal
917221,1,normal
17302,1,normal
917302,1,normal
17421,2,normal
917421,2,normal
17515,2,normal
917515,2,normal
17592,2,normal
917592,2,normal
17716,3,normal
917716,3,normal
17718,3,normal
917718,3,normal
17861,3,normal
917861,3,normal
917989,3,in
17989,3,out
17035,1,normal
917035,1,normal
17025,1,normal
917025,1,normal
17022,4,normal
917022,4,normal
17062,1,normal
17114,1,normal
17172,1,normal
17244,1,normal
17376,2,normal
17443,2,normal
17532,2,normal
17605,3,normal
917605,3,normal
17713,3,normal
917713,3,normal
17826,3,normal
917826,3,normal
17607,6,normal
917607,6,normal
17715,3,normal
917715,3,normal
17828,3,normal
917828,3,normal
917024,1,out
917111,1,normal
917169,1,normal
917241,1,normal
917332,1,normal
917440,2,normal
917529,2,normal
917601,3,normal
917709,3,normal
17711,3,normal
917711,3,normal
17824,3,normal
917824,3,normal
17897,3,out
917897,3,in
16935,1,in
916935,1,out
17059,1,normal
17110,1,normal
17168,1,normal
17240,1,normal
17331,2,normal
17439,2,normal
17528,6,normal
17600,6,normal
917020,4,out
917107,4,normal
917165,4,normal
917237,4,normal
917328,5,normal
917436,5,normal
917525,5,normal
917627,6,normal
917705,6,normal
16931,4,in
17055,4,normal
17106,4,normal
17164,4,normal
17236,5,normal
17327,5,normal
17435,5,normal
17524,6,normal
17626,6,normal
17895,6,normal
917895,6,normal
917016,4,out
917103,4,normal
917161,4,normal
917233,4,normal
917324,5,normal
917432,5,normal
917546,5,normal
917623,6,normal
917753,6,normal
16927,7,in
17049,7,normal
17102,7,normal
17160,7,normal
17232,7,normal
17323,7,normal
17431,8,normal
17521,8,normal
17622,8,normal
17752,8,normal
917752,8,normal
917012,7,out
917099,7,normal
917157,7,normal
917320,7,normal
917428,7,normal
917545,7,normal
917619,8,normal
917747,8,normal
17183,7,in
917183,7,out
17184,7,normal
917184,7,normal
17355,7,normal
917355,7,normal
17472,8,normal
917472,8,normal
17544,8,normal
917544,8,normal
17655,8,normal
917655,8,normal
17780,8,normal
917780,8,normal
17021,4,normal
917021,4,normal
17018,4,normal
917018,4,normal
17017,4,normal
917017,4,normal
17014,7,normal
917014,7,normal
917101,4,normal
917100,7,normal
917097,7,in
17166,4,normal
17163,4,normal
17162,4,normal
17159,7,normal
17158,7,normal
17235,4,normal
917235,4,normal
17234,4,normal
917234,4,normal
17231,4,normal
917231,4,normal
17329,5,normal
17326,5,normal
17325,5,normal
17322,7,normal
17321,7,normal
917434,5,normal
917433,5,normal
917430,5,normal
917429,7,normal
917471,7,normal
17522,6,normal
917522,6,normal
17523,6,normal
917523,6,normal
17520,6,normal
917520,6,normal
17519,8,normal
917519,8,normal
17543,8,normal
917543,8,normal
17628,6,normal
17625,6,normal
17624,6,normal
17621,8,normal
17620,8,normal
17707,6,normal
917707,6,normal
17754,6,normal
917754,6,normal
17751,6,normal
917751,6,normal
17748,8,normal
917748,8,normal
17749,8,normal
917749,8,normal
17893,6,normal
917893,6,normal
17890,6,normal
917890,6,normal
917892,6,in
17892,8,out
17891,8,normal
917891,8,normal
17181,8,out
17354,7,out
917469,7,in
17541,8,out
917541,8,in
17654,8,out
17778,8,out
917778,8,in
17917,8,out
917917,8,in
17069,7,out
917069,7,in
17894,6,out
917105,4,normal
916931,4,out
916927,7,out
